patient	&	sample	&	#templates	&	#haplotypes>0.002	&	#haplotypes>0.01	&	fraction recaptured\\
p1	&	2012-10-02	&	820	&	25	&	15	&	0.00\\
p1	&	2014-10-07	&	148	&	16	&	6	&	0.17\\
p1	&	2015-02-12	&	38	&	24	&	6	&	0.17\\
p2	&	2015-06-09	&	75	&	27	&	13	&	NA\\
p3	&	2012-09-18	&	243	&	54	&	27	&	0.11\\
p3	&	2014-10-13	&	102	&	49	&	14	&	0.29\\
p3	&	2015-04-24	&	108	&	35	&	16	&	0.25\\
p5	&	2012-10-26	&	180	&	44	&	4	&	0.00\\
p5	&	2015-03-16	&	72	&	29	&	11	&	0.00\\
p6	&	2012-10-24	&	115	&	8	&	5	&	0.00\\
p7	&	2014-12-01	&	28	&	38	&	13	&	0.00\\
p7	&	2015-04-17	&	108	&	38	&	15	&	0.00\\
p8	&	2012-09-21	&	180	&	27	&	11	&	0.00\\
p8	&	2014-11-18	&	279	&	14	&	5	&	0.00\\
p8	&	2015-04-07	&	175	&	58	&	25	&	0.00\\
p9	&	2012-10-05	&	60	&	38	&	11	&	0.00\\
p9	&	2014-10-02	&	72	&	2	&	2	&	0.00\\
p9	&	2015-03-18	&	72	&	42	&	6	&	0.00\\
p10	&	2012-10-09	&	249	&	24	&	7	&	0.00\\
p10	&	2014-10-24	&	116	&	27	&	14	&	0.00\\
p10	&	2015-02-27	&	51	&	23	&	4	&	0.00\\
p11	&	2012-10-10	&	124	&	13	&	8	&	0.12\\
p11	&	2014-10-22	&	120	&	28	&	13	&	0.00\\
p11	&	2015-02-25	&	123	&	59	&	23	&	0.04\\
